# Wohnung Kauf from immoscout24.de on 2019-06-18-14-05
ID,Haus/Wohnung,ID,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,lat,livingSpace,lon,numberOfRooms,postcode,price,privateOffer,quarter,title,url
110036782,Wohnung,110036782,Kauf,"Niendorf, Hamburg",false,true,Hamburg,true,001.150603,false,,61,,2,22459,159500,false,Niendorf,2-Zimmer-Eigentumswohnung in Hamburg-Niendorf!,https://www.immobilienscout24.de/expose/110036782
109523622,Wohnung,109523622,Kauf,"Diestelstraße 30, Wohldorf-Ohlstedt, Hamburg",true,false,Hamburg,true,001.9255274,false,53.68993,127.75,10.12623,3,22397,650000,false,Wohldorf-Ohlstedt,Exklusiv Wohnen in den Walddörfern - Noble 3-Zimmer-Maisonette-Wohnung mit Terrasse und Balkon,https://www.immobilienscout24.de/expose/109523622
111736124,Wohnung,111736124,Kauf,"Poppenbüttel, Hamburg",false,true,Hamburg,true,001.503540,false,,68,,3,22391,398000,false,Poppenbüttel,"Lichtdurchflutete, exklusive 3-Zimmer-Wohnung in gefragter Lage am AEZ!",https://www.immobilienscout24.de/expose/111736124
108177398,Wohnung,108177398,Kauf,"Böttcherkamp 20, Lurup, Hamburg",true,false,Hamburg,true,001.15347,false,53.58639,74,9.87607,2,22547,357500,false,Lurup,Ihr neues Komfort-Zuhause in Hamburg-Lurup,https://www.immobilienscout24.de/expose/108177398
110915148,Wohnung,110915148,Kauf,"Rissen, Hamburg",false,true,Hamburg,true,001.150603,false,,59.33,,2,22559,213400,false,Rissen,Kapitalanlage mit garantierten Mieteinnahmen - Eigentumswohnung in Hamburg-Rissen!,https://www.immobilienscout24.de/expose/110915148
110384167,Wohnung,110384167,Kauf,"Rahlstedt, Hamburg",false,true,Hamburg,true,001.150603,false,,62.39,,2,22149,179500,false,Rahlstedt,Naturnah und doch zentral - Eigentumswohnung in Hamburg-Rahlstedt!,https://www.immobilienscout24.de/expose/110384167
111648692,Wohnung,111648692,Kauf,"Bramfeld, Hamburg",true,true,Hamburg,false,002.01008150657,false,,96.5,,4,22179,390000,false,Bramfeld,***Große 4-Zimmer Wohnung mit Tiefgaragenstellplatz*** in idyllischer Lage,https://www.immobilienscout24.de/expose/111648692
111352854,Wohnung,111352854,Kauf,"Hamm-Mitte, Hamburg",true,false,Hamburg,false,002.01008150657,false,,67,,3,20537,280000,false,Hamm-Mitte,Solide 3-Zimmer-Wohnung in TOP Lage - Beltgens Garten,https://www.immobilienscout24.de/expose/111352854
111327062,Wohnung,111327062,Kauf,"Langenhorn, Hamburg",false,true,Hamburg,false,002.01008150657,false,,95,,3,22415,329000,false,Langenhorn,**Stilvolle Maisonette-Wohnung** mit Balkon in Langenhorn,https://www.immobilienscout24.de/expose/111327062
111206629,Wohnung,111206629,Kauf,"Am Strandkai 3, HafenCity, Hamburg",true,true,Hamburg,true,001.339523,false,53.5397,160,9.99335,3,20457,2800000,false,HafenCity,Wohnen im Marco Polo Tower - Ein architektonisches Highlight inmitten der HafenCity,https://www.immobilienscout24.de/expose/111206629
111786084,Wohnung,111786084,Kauf,"Eimsbüttel, Hamburg",true,true,Hamburg,false,001.10941192,false,,110,,3.5,20259,795000,false,Eimsbüttel,Karoviertel- Sonniges Penthouse,https://www.immobilienscout24.de/expose/111786084
111141657,Wohnung,111141657,Kauf,"Rahlstedt, Hamburg",true,true,Hamburg,false,001.15710810,true,,66,,2,22143,235000,false,Rahlstedt,Hamburg - Rahlstedt | Schöne 2-Zimmer Wohnung in der Endetage mit Tiefgaragenstellplatz,https://www.immobilienscout24.de/expose/111141657
111717169,Wohnung,111717169,Kauf,"Papenkamp 33, Groß Flottbek, Hamburg",true,false,Hamburg,true,001.10712777,true,53.5592,142.3,9.86726,4,22607,1187000,false,Groß Flottbek,*** NEU - Elbnahe Neubau-Erdgeschosswohnung mit eigenem ca. 389 m² großen süd/west Garten ***,https://www.immobilienscout24.de/expose/111717169
111379905,Wohnung,111379905,Kauf,"Charlotte-Mügge-Weg,Erich-Hippel-Weg 1, Jenfeld, Hamburg",true,false,Hamburg,true,001.177210,false,53.57997,104,10.13271,4,22045,430000,false,Jenfeld,"Platz für die ganze Familie!
KFW 55!",https://www.immobilienscout24.de/expose/111379905
108405268,Wohnung,108405268,Kauf,"Eppendorf, Hamburg",true,false,Hamburg,false,001.15530558,false,,159,,4,20249,1120000,false,Eppendorf,Sonnige Endetagenwohnung im Herzen von Eppendorf - HH-Eppendorf,https://www.immobilienscout24.de/expose/108405268
105892368,Wohnung,105892368,Kauf,"Steinbeker Marktstraße 8-10, Billstedt, Hamburg",true,false,Hamburg,true,001.15347,false,53.53079,90,10.12709,4,22117,449900,false,Billstedt,Familien-Wohnglück: Eigentumswohnung in Hamburg Kirchsteinbek,https://www.immobilienscout24.de/expose/105892368
111570647,Wohnung,111570647,Kauf,"Othmarschen, Hamburg",true,false,Hamburg,true,001.2735650,false,,227,,5,22605,2100000,false,Othmarschen,Blanche N° 83 - Willkommen in Ihrem Neubau-Penthouse!,https://www.immobilienscout24.de/expose/111570647
112052813,Wohnung,112052813,Kauf,"Eilbek, Hamburg",true,false,Hamburg,true,002.01009068121,false,,151.35,,4,22089,956000,false,Eilbek,Maisonettewohnung in Eilbek: Überblick auf Hamburg von der Ihrer Terrasse,https://www.immobilienscout24.de/expose/112052813
110423652,Wohnung,110423652,Kauf,"Blankenese, Hamburg",true,true,Hamburg,true,001.8146406,false,,144,,2.5,22587,1950000,false,Blankenese,CASINI & GÖRNER: Exklusiv modernisierte Wohnung mit tollem Elbblick unweit vom Ortszentrum,https://www.immobilienscout24.de/expose/110423652
